관측소 코드명,관측소 유형,관측소 명,위도,경도,관측소 영문명
TW_0095,해양관측부이,고래불해수욕장,36.58,129.454083,Goraebul Beach
TW_0075,해양관측부이,중문해수욕장,33.2345,126.409555,Jungmun Beach
TW_0076,해양관측부이,인천항,37.389444,126.533055,Incheon Hang
DT_0901,조위관측소,포항_구,36.051581,129.374499,Pohang(old)
TW_0088,해양관측부이,감천항,35.052805,129.003083,Gamcheon Hang
IE_0062,종합해양과학기지,옹진소청초,37.423056,124.738056,Socheongcho
IE_0061,종합해양과학기지,신안가거초,33.941944,124.592778,Gageocho
TW_0085,해양관측부이,마산항,35.103194,128.631833,Masan
TW_0091,해양관측부이,낙산해수욕장,38.1225,128.650556,Naksan
TW_0086,해양관측부이,부산항신항,35.043777,128.76175,Busan(new)
TW_0093,해양관측부이,속초해수욕장,38.198611,128.631389,Sokcho Beach
DT_0068,조위관측소,위도,35.61808444,126.3018158,Wido
DT_0065,조위관측소,덕적도,37.226333,126.156556,Deokjeokdo
DT_0066,조위관측소,향화도,35.167667,126.359556,Hyanghwado
DT_0067,조위관측소,안흥,36.67463889,126.1295556,Anheung
DT_0091,조위관측소,포항,36.047128,129.383806,Pohang
DT_0063,조위관측소,가덕도,35.024178,128.810933,Gadeokdo
TW_0094,해양관측부이,망상해수욕장,37.593666,129.090091,Mangsang Beach
DT_0062,조위관측소,마산,35.1975,128.576389,Masan
DT_0092,조위관측소,여호항,34.661944,127.469167,Yeoho(Port)
KG_0021,해양관측부이,제주남부,32.090416,126.965861,Jeju(Southern)
KG_0024,해양관측부이,대한해협,34.919,129.12125,Korea Strait
KG_0025,해양관측부이,남해동부,34.222472,128.419027,Jeju(Eastern)
TW_0089,해양관측부이,경포대해수욕장,37.808972,128.931889,Gyeongpodae Beach
HB_0007,해양관측부이,한수원_온양,37.019444,129.425,KHNP_Onyang
HB_0008,해양관측부이,한수원_덕천,37.1,129.404167,KHNP_Deokcheon
HB_0009,해양관측부이,한수원_나곡,37.119167,129.395833,KHNP_Nagog
TW_0079,해양관측부이,상왕등도,35.652472,126.19425,SangWang
TW_0080,해양관측부이,우이도,34.54305556,125.8027778,Uido
TW_0081,해양관측부이,생일도,34.258722,126.960277,Saengildo
TW_0082,해양관측부이,태안항,37.006722,126.270222,Taean
TW_0083,해양관측부이,여수항,34.794722,127.808055,Yosu
TW_0084,해양관측부이,통영항,34.773333,128.46,Tongyeong
TW_0092,해양관측부이,임랑해수욕장,35.3025,129.2925,Imrang
DT_0002,조위관측소,평택,36.966944,126.822778,Pyeongtaek
DT_0003,조위관측소,영광,35.426111,126.420556,Yeonggwang
DT_0004,조위관측소,제주,33.5275,126.543056,Jeju
DT_0005,조위관측소,부산,35.096389,129.035278,Busan
DT_0006,조위관측소,묵호,37.550278,129.116389,Mukho
DT_0007,조위관측소,목포,34.779722,126.375556,Mokpo
DT_0008,조위관측소,안산,37.192222,126.647222,Ansan
DT_0010,조위관측소,서귀포,33.24,126.561667,Seogwipo
DT_0011,조위관측소,후포,36.6775,129.453056,Hupo
DT_0012,조위관측소,속초,38.207222,128.594167,Sokcho
DT_0013,조위관측소,울릉도,37.491389,130.913611,Ulleungdo
DT_0016,조위관측소,여수,34.747222,127.765556,Yeosu
DT_0017,조위관측소,대산,37.0075,126.352778,Daesan
KG_0028,해양관측부이,제주해협,33.70011111,126.5905,Jeju Haehyeop
DT_0018,조위관측소,군산,35.975556,126.563056,Gunsan
DT_0021,조위관측소,추자도,33.961944,126.300278,Chujado
DT_0023,조위관측소,모슬포,33.214444,126.251111,Moseulpo
DT_0028,조위관측소,진도,34.377778,126.308611,Jindo
DT_0030,조위관측소,위도(구),35.618056,126.301667,Wido(old)
DT_0032,조위관측소,강화대교,37.731944,126.522222,Ganghwa(Bridge)
TW_0078,해양관측부이,완도항,34.325083,126.763194,Wando Hang
TW_0087,해양관측부이,부산항,35.09175,129.08525,Busan Hang
DT_0019,조위관측소,가덕도(구),35.024167,128.810833,Gadeokdo(old)
DT_0020,조위관측소,울산,35.501944,129.387222,Ulsan
DT_0022,조위관측소,성산포,33.474722,126.927778,Seongsanpo
DT_0024,조위관측소,장항,36.006944,126.6875,Janghang
DT_0026,조위관측소,고흥발포,34.481111,127.342778,Goheung(Balpo)
DT_0027,조위관측소,완도,34.315556,126.759722,Wando
DT_0029,조위관측소,거제도,34.801389,128.699167,Geojedo
DT_0031,조위관측소,거문도,34.028333,127.308889,Geomundo
DT_0035,조위관측소,흑산도,34.684167,125.435556,Heuksando
DT_0044,조위관측소,영종대교,37.545556,126.584444,Yeongjong(Bridge)
DT_0050,조위관측소,태안,36.91305556,126.2388889,Taean
DT_0051,조위관측소,서천마량,36.12888889,126.4952778,Seocheon(Maryang)
DT_0049,조위관측소,광양,34.903672,127.754836,Gwangyang
DT_0056,조위관측소,부산항신항,35.0775,128.786944,Busan(New Port)
DT_0057,조위관측소,동해항,37.494722,129.143889,Donghae(Port)
DT_0055,조위관측소,순천만,34.88411111,127.5125556,Sooncheon(Bay)
DT_0058,조위관측소,경인항,37.560833,126.601111,Gyeongin(Port)
TW_0090,해양관측부이,송정해수욕장,35.164722,129.219444,Songjun Beach
TW_0074,해양관측부이,광양항,34.859722,127.792777,Gwangyang Hang
IE_0060,종합해양과학기지,이어도,32.12277778,125.1822222,Ieodo
DT_0038,조위관측소,굴업도,37.194444,125.995,Gureopdo
DT_0025,조위관측소,보령,36.406389,126.486111,Boryeong
DT_0034,조위관측소,안흥(구),36.673611,126.132222,Anheung(old)
DT_0001,조위관측소,인천,37.451944,126.592222,Incheon
DT_0052,조위관측소,인천송도,37.33805556,126.5861111,Incheon Songdo
DT_0014,조위관측소,통영,34.827778,128.434722,Tongyeong
HB_0003,해양관측부이,한수원_진하,35.384722,129.368056,KHNP_Jinha
DT_0037,조위관측소,어청도,36.117222,125.984722,Eocheongdo
DT_0009,조위관측소,포항(과거),36.04722222,129.3838889,Pohang(old)
DT_0039,조위관측소,왕돌초,36.71916667,129.7325,Wangdolcho
DT_0041,조위관측소,복사초,34.09833333,126.1683333,Boksacho
DT_0042,조위관측소,교본초,34.70472222,128.3063889,Gyoboncho
TW_0062,해양관측부이,해운대해수욕장,35.148972,129.170166,Haeundae Beach
TW_0069,해양관측부이,대천해수욕장,36.274111,126.457805,Daecheon Beach
TW_0070,해양관측부이,평택당진항,37.136666,126.540833,Pyeontaek·Dangjin Hang
TW_0072,해양관측부이,군산항,35.984166,126.50875,Gunsan Hang
DT_0043,조위관측소,영흥도,37.23861111,126.4286111,Yeongheungdo
DT_0061,조위관측소,삼천포,34.924167,128.069722,Samcheonpo
TW_0077,해양관측부이,경인항,37.523388,126.592083,Gyeongin Hang
KG_0101,해양관측부이,울릉도북동,38.007361,131.552583,Ulleungdo(Northeastern)
KG_0102,해양관측부이,울릉도북서,37.742722,130.601194,Ulleungdo(Northwestern)
DT_0093,조위관측소,소의무도,37.373069,126.440066,Somuuido
HB_0001,해양관측부이,한수원_기장,35.182444,129.23525,KHNP_Gijang
HB_0002,해양관측부이,한수원_고리,35.3185,129.314722,KHNP_Gori
