name,address
중구 노인복지관,부산광역시 중구 책방골목길 3-1
부산전화국,부산광역시 중구 중앙대로 136
부평깡통시장,부산광역시 중구 중구로43번길 31-1
중앙공원 산책로,부산광역시 중구 망양로355번길 6-13
국제지하도상가A번화장실,부산광역시 중구 중구로 지하31
부산창선동우체국,부산광역시 중구 광복로39번길 3-1
중구 보건소,부산광역시 중구 중구로 120
지하철 자갈치역,부산광역시 중구 구덕로 지하 80
한국전기안전공사부산울산지역본부,부산광역시 중구 해관로 27
연안여객터미널(1층),부산광역시 중구 충장대로 24
자갈치공중화장실,부산광역시 중구 자갈치해안로 58
"40계단문화관, 중구 국제화센터",부산광역시 중구 동광길 49
영주1동주민센터,부산광역시 중구 대영로224번길 10
부평동주민센터,부산광역시 중구 중구로29번길 23
남포지하도상가A번화장실,"부산광역시 중구 구덕로 지하44, 남포지하도상가 (남포동5가)"
영주파출소,부산광역시 중구 동영로 77
부산 중구관광안내소,부산광역시 중구 태종로 8
남포지하도상가B번화장실,"부산광역시 중구 구덕로 지하44, 남포지하도상가 (남포동5가)"
국제지하도상가B번화장실,"부산광역시 중구 중구로 지하31, 국제지하도상가 (신창동4가)"
자갈치현대화시장 2층화장실,"부산광역시 중구 자갈치해안로 52, 자갈치시장 (남포동4가)"
남포지하도상가C번화장실,"부산광역시 중구 구덕로 지하44, 남포지하도상가 (남포동5가)"
자갈치현대화시장 3층화장실,"부산광역시 중구 자갈치해안로 52, 자갈치시장 (남포동4가)"
웰빙체육관,부산광역시 중구 영주로 89
영주2동주민센터,부산광역시 중구 동영로 71-2
북항친수공원 제3화장실,부산광역시 중구 중앙동4가 107
중부소방서(3층),"부산광역시 중구 중앙대로 110, 부산중부소방서 (중앙동4가)"
중부소방서 구조대(3층),"부산광역시 중구 중앙대로 110, 부산중부소방서 (중앙동4가)"
중부소방서(4층),"부산광역시 중구 중앙대로 110, 부산중부소방서 (중앙동4가)"
부산근현대역사관 본관,부산광역시 중구 대청로 112 (대청동1가)
자갈치현대화시장 4층화장실,"부산광역시 중구 자갈치해안로 52, 자갈치시장 (남포동4가)"
국립수산물품질관리원,부산광역시 중구 중앙대로30번길 8
보수종합시장 화장실,"부산광역시 중구 보수대로 94, 보수종합시장 (보수동3가)"
부산세관,부산광역시 중구 충장대로 20
고맙습니다.글마루작은도서관,부산광역시 중구 동영로 87-1
부산 종합관광안내소,부산광역시 중구 구덕로 31
새영주시장 고객지원센터,"부산광역시 중구 초량중로6번길 7-1, 새영주시장 고객지원센터 (영주동)"
남포지구대,부산광역시 중구 해관로 19
부산지방보훈청(1~2층),부산광역시 중구 중앙대로148번길 13
중구청소년문화의집,부산광역시 중구 보수대로124번길 24-2
부산보수동우체국,부산광역시 중구 흑교로45번길 7
박기종 기념관,부산광역시 중구 망양로 362
중구 평생학습관,"부산광역시 중구 대청로116번길 13, 중구 평생학습관 (광복동2가)"
광복지하도상가B번화장실,"부산광역시 중구 중앙대로 지하17, 광복지하도상가 (중앙동6가)"
부산출입국외국인청 개방화장실,부산광역시 중구 충장대로 22-1
부평공영주차장,부산광역시 중구 중구로33번길 32
용두산공원 서편,부산광역시 중구 용두산길 35-28 (광복동2가)
광복지하도상가A번화장실,부산광역시 중구 중앙대로 지하17
보수파출소,부산광역시 중구 흑교로 77
부산광역시립중앙도서관,부산광역시 중구 망양로193번길 146
중구 종합사회복지관,부산광역시 중구 망양로 309
동광동 다목적커뮤니티센터,부산광역시 중구 샘길 18-8
용두산공영주차장,부산광역시 중구 대청로 120
민주항쟁기념관,부산광역시 중구 민주공원길 19
부평깡통시장 고객지원센터,"부산광역시 중구 중구로47번길 31-13, 부평깡통시장 고객지원센터 (부평동2가)"
영주공영주차장,부산광역시 중구 동영로 58
보수동주민센터,부산광역시 중구 보수대로140번길 61
남포동주민센터,부산광역시 중구 자갈치로 68-1
중앙공원 충혼탑,부산광역시 중구 중앙공원로 87
광복지하도상가C번화장실,"부산광역시 중구 중앙대로 지하17, 광복지하도상가 (중앙동6가)"
창선치안센터,부산광역시 중구 광복중앙로 1
중앙동주민센터,부산광역시 중구 중앙대로41번길 10
중구 복합건강센터,부산광역시 중구 흑교로 48
보수동책방골목어린이도서관,부산광역시 중구 대청로 57-16
보수공영주차장,부산광역시 중구 중구로75번길 25
청년마루,"부산광역시 중구 법수길 61, 보수플러스센터 (보수동1가)"
동광동주민센터,부산광역시 중구 동광길 105
유라리광장 공중화장실,부산광역시 중구 용미길9번길 6-14
부산지방기상청,부산광역시 중구 복병산길32번길 5-11
신창공영주차장,부산광역시 중구 광복로35번길 35
대청동주민센터,부산광역시 중구 대청로99번길 14-1
부산영화체험박물관,부산광역시 중구 대청로126번길 12
자갈치현대화시장 1층화장실,부산광역시 중구 자갈치해안로52
부평파출소,부산광역시 중구 보수대로44번길 27
중앙공영주차장,부산광역시 중구 대청로135번길 36
지하철 중앙역,부산광역시 중구 중앙대로 지하 83
복병산체육공원 공중화장실,부산광역시 중구 샘길 10
창선119안전센터,부산광역시 중구 대청로 68-1
아리랑거리 고객지원센터,부산광역시 중구 중구로40번길 11-2 (신창동3가)
SK고려주유소,부산광역시 중구 대청로 153
부산근현대역사관 별관,부산광역시 중구 대청로 104
광복로 문화다락,부산광역시 중구 광복로 56-12
중부경찰서,부산광역시 중구 중앙대로 105
중부산세무서 공중화장실,부산광역시 중구 흑교로 64
상수도사업본부 중동부사업소,부산광역시 중구 샘길 10
보수동책방골목문화관,부산광역시 중구 대청로 61-2
광복동주민센터,부산광역시 중구 광복로55번길 10
지하철 남포역,부산광역시 중구 구덕로 지하 12
대청공영주차장,부산광역시 중구 망양로 333
백산기념관,부산광역시 중구 백산길 11
용두산공원 동편,"부산광역시 중구 용두산길 37-18, 용두산공원 (동광동2가)"
부산항만공사,부산광역시 중구 대교로 122
중부소방서(1층),부산광역시 중구 중앙대로 110
중구청,부산광역시 중구 중구로 120
대청파출소,부산광역시 중구 중구로 103-1
서구보건소,"부산광역시 서구 부용로 30, 서구보건소 부민노인복지관 (부용동2가)"
남부민2동주민센터,"부산광역시 서구 천마로 87, 남부민2동 주민센터 (남부민동)"
부산대학병원,"부산광역시 서구 구덕로 179, 부산대학병원 (아미동1가)"
남항대교 밑 공중화장실,"부산광역시 서구 충무대로94번길 40, 남항대교 주차장 (암남동)"
부산서구문화원화장실,"부산광역시 서구 까치고개로197번길 46, 서구문화원 (아미동2가)"
서대신4동주민센터,"부산광역시 서구 꽃마을로 58, 서대신4동주민센터 (서대신동3가)"
수산물유통시설관리사업소 냉동,"부산광역시 서구 원양로 35, 국제수산물도매시장 (암남동)"
서구종합사회복지관 화장실,부산광역시 서구 망양로193번길 104 (동대신동1가)
아미파출소,"부산광역시 서구 해돋이로 267, 아미치안센타 (아미동2가)"
동대신동지하철역,부산광역시 서구 구덕로 지하290 (동대신동2가)
송도스포츠센터 화장실,부산광역시 서구 송도해변로 121 (암남동)
